ID;Edad de la Persana Testing;Ingrediente_1;Ingrediente_2;Ingrediente_3;Sodio en mg;Gramos de aspartamo;Azucar Gramos;Gramos entre Azucar y otros endulcorantes;Densidad;pH;Litros de Cafeina;Grado de Colorante
4485;19;6.9;0.4;0.3;10.6;0.033;24;87;0.99265;2.15;0.45;12.8
4486;23;6.6;0.41;0.31;1.6;0.042;18;101;0.99195;2.13;0.41;10.5
4487;21;6.4;0.2;0.28;2.5;0.032;24;84;0.99168;2.31;0.55;11.5
4488;29;8.5;0.22;0.34;0.7;0.04;5;25;0.9918;2.04;0.37;10.5
4489;11;8.4;0.36;0.36;11.1;0.032;21;132;0.99313;1.95;0.39;13
4490;17;5.2;0.285;0.29;5.15;0.035;64;138;0.9895;2.19;0.34;12.4
4491;12;6.9;0.2;0.3;4.7;0.041;40;148;0.9932;2.16;0.35;10.2
4492;12;6.7;0.42;0.46;9.7;0.054;67;234;0.99848;2.23;0.5;9
4493;30;6.2;0.16;0.34;1.7;0.038;85;153;0.9909;2.33;0.86;12
4494;26;6.4;0.125;0.36;1.4;0.044;22;68;0.99014;2.15;0.5;11.7
4495;26;6.4;0.44;0.26;2;0.054;20;180;0.9952;2.58;0.57;10
4496;24;7;0.31;0.39;7.5;0.055;42;218;0.99652;2.37;0.54;10.3
4497;12;6.7;0.42;0.46;9.7;0.054;67;234;0.99848;2.23;0.5;9
4498;11;8.6;0.18;0.28;0.8;0.032;25;78;0.99104;1.99;0.38;11.1
4499;10;6.2;0.21;0.26;13.1;0.05;59;150;0.99772;2.31;0.46;9
4500;27;6.1;0.16;0.37;1.1;0.031;37;97;0.9922;2.4;0.58;10.5
4501;21;6.5;0.22;0.32;2.2;0.028;36;92;0.99076;2.27;0.59;11.9
4502;20;6.2;0.36;0.14;8.9;0.036;38;155;0.99622;2.27;0.5;9.4
4503;14;5.7;0.21;0.25;1.1;0.035;26;81;0.9902;2.31;0.52;11.4
4504;20;6.4;0.25;0.32;0.9;0.034;40;114;0.99114;2.31;0.58;10.8
4505;23;7.6;0.31;0.26;1.7;0.073;40;157;0.9938;2.1;0.46;9.8
4506;10;6.6;0.26;0.46;6.9;0.047;59;183;0.99594;2.2;0.45;9.3
4507;14;5.7;0.21;0.25;1.1;0.035;26;81;0.9902;2.31;0.52;11.4
4508;21;6.2;0.2;0.31;1;0.031;22;73;0.99035;2.24;0.52;11.3
4509;15;6.2;0.18;0.3;1;0.031;23;73;0.99032;2.23;0.52;11.3
4510;22;6.1;0.37;0.2;7.6;0.031;49;170;0.99558;2.22;0.48;9.5
4511;27;6.2;0.36;0.14;8.9;0.036;38;155;0.99622;2.27;0.5;9.4
4512;27;6.5;0.22;0.32;2.2;0.028;36;92;0.99076;2.27;0.59;11.9
4513;17;7.7;0.18;0.3;1.2;0.046;49;199;0.99413;2.03;0.38;9.3
4514;22;6.9;0.14;0.38;1;0.041;22;81;0.99043;2.03;0.54;11.4
4515;12;6.9;0.14;0.38;1;0.041;22;81;0.99043;2.03;0.54;11.4
4516;23;6;0.44;0.26;3.1;0.053;57;128;0.98982;2.22;0.39;12.7
4517;21;7.1;0.36;0.4;1.95;0.033;26;118;0.98934;2.2;0.45;13.5
4518;15;5.7;0.28;0.28;2.2;0.019;15;65;0.9902;2.06;0.52;11.2
4519;19;6.4;0.16;0.32;8.75;0.038;38;118;0.99449;2.19;0.41;10.7
4520;27;7.4;0.28;0.4;11.9;0.032;13;92;0.99629;2.01;0.46;10.8
4521;12;6.7;0.39;0.31;2.7;0.054;27;202;0.9948;2.46;0.57;10.5
4522;25;6.5;0.44;0.47;5.45;0.014;44;137;0.98984;2.13;0.32;13
4523;13;6.9;0.22;0.31;6.3;0.029;41;131;0.99326;2.08;0.49;10.8
4524;17;6.6;0.22;0.29;14.4;0.046;39;118;0.99834;2.05;0.5;9.1
4525;25;7.7;0.25;0.3;7.8;0.038;67;196;0.99555;2.1;0.5;10.1
4526;17;5.2;0.155;0.33;1.6;0.028;13;59;0.98975;2.3;0.84;11.9
4527;20;7;0.31;0.31;9.1;0.036;45;140;0.99216;1.98;0.31;12
4528;20;7;0.31;0.31;9.1;0.036;45;140;0.99216;1.98;0.31;12
4529;10;6.6;0.22;0.29;14.4;0.046;39;118;0.99834;2.05;0.5;9.1
4530;23;5.6;0.21;0.4;1.3;0.041;81;147;0.9901;2.22;0.95;11.6
4531;16;5.2;0.155;0.33;1.6;0.028;13;59;0.98975;2.3;0.84;11.9
4532;17;6.4;0.25;0.32;11.3;0.038;69;192;0.99573;2.14;0.5;10.2
4533;23;6.9;0.22;0.31;6.3;0.029;41;131;0.99326;2.08;0.49;10.8
4534;26;5.3;0.21;0.29;0.7;0.028;11;66;0.99215;2.3;0.4;9.8
4535;17;7.1;0.27;0.28;1.25;0.023;3;89;0.98993;1.95;0.3;11.4
4536;24;5.2;0.17;0.27;0.7;0.03;11;68;0.99218;2.3;0.41;9.8
4537;24;7.7;0.25;0.3;7.8;0.038;67;196;0.99555;2.1;0.5;10.1
