ID;Edad de la Persana Testing;Ingrediente_1;Ingrediente_2;Ingrediente_3;Sodio en mg;Gramos de aspartamo;Azucar Gramos;Gramos entre Azucar y otros endulcorantes;Densidad;pH;Litros de Cafeina;Grado de Colorante;Indice_Satisfaccion
1;22;7.4;0.7;0;1.9;0.076;11;34;0.9978;2.51;0.56;9.4;0
2;27;7.8;0.88;0;2.6;0.098;25;67;0.9968;2.2;0.68;9.8;0
3;30;7.8;0.76;0.04;2.3;0.092;15;54;0.997;2.26;0.65;9.8;0
4;22;11.2;0.28;0.56;1.9;0.075;17;60;0.998;2.16;0.58;9.8;1
5;19;7.4;0.7;0;1.9;0.076;11;34;0.9978;2.51;0.56;9.4;0
6;21;7.4;0.66;0;1.8;0.075;13;40;0.9978;2.51;0.56;9.4;0
7;23;7.9;0.6;0.06;1.6;0.069;15;59;0.9964;2.3;0.46;9.4;0
8;26;7.3;0.65;0;1.2;0.065;15;21;0.9946;2.39;0.47;10;1
9;24;7.8;0.58;0.02;2;0.073;9;18;0.9968;2.36;0.57;9.5;1
10;19;7.5;0.5;0.36;6.1;0.071;17;102;0.9978;2.35;0.8;10.5;0
11;18;6.7;0.58;0.08;1.8;0.097;15;65;0.9959;2.28;0.54;9.2;0
12;29;7.5;0.5;0.36;6.1;0.071;17;102;0.9978;2.35;0.8;10.5;0
13;20;5.6;0.615;0;1.6;0.089;16;59;0.9943;2.58;0.52;9.9;0
14;22;7.8;0.61;0.29;1.6;0.114;9;29;0.9974;2.26;1.56;9.1;0
15;13;8.9;0.62;0.18;3.8;0.176;52;145;0.9986;2.16;0.88;9.2;0
16;12;8.9;0.62;0.19;3.9;0.17;51;148;0.9986;2.17;0.93;9.2;0
17;24;8.5;0.28;0.56;1.8;0.092;35;103;0.9969;2.3;0.75;10.5;1
18;20;8.1;0.56;0.28;1.7;0.368;16;56;0.9968;2.11;1.28;9.3;0
19;30;7.4;0.59;0.08;4.4;0.086;6;29;0.9974;2.38;0.5;9;0
20;25;7.9;0.32;0.51;1.8;0.341;17;56;0.9969;2.04;1.08;9.2;1
21;18;8.9;0.22;0.48;1.8;0.077;29;60;0.9968;2.39;0.53;9.4;1
22;20;7.6;0.39;0.31;2.3;0.082;23;71;0.9982;2.52;0.65;9.7;0
23;25;7.9;0.43;0.21;1.6;0.106;10;37;0.9966;2.17;0.91;9.5;0
24;16;8.5;0.49;0.11;2.3;0.084;9;67;0.9968;2.17;0.53;9.4;0
25;20;6.9;0.4;0.14;2.4;0.085;21;40;0.9968;2.43;0.63;9.7;1
26;30;6.3;0.39;0.16;1.4;0.08;11;23;0.9955;2.34;0.56;9.3;0
27;30;7.6;0.41;0.24;1.8;0.08;4;11;0.9962;2.28;0.59;9.5;0
28;27;7.9;0.43;0.21;1.6;0.106;10;37;0.9966;2.17;0.91;9.5;0
29;27;7.1;0.71;0;1.9;0.08;14;35;0.9972;2.47;0.55;9.4;0
30;10;7.8;0.645;0;2;0.082;8;16;0.9964;2.38;0.59;9.8;1
31;22;6.7;0.675;0.07;2.4;0.089;17;82;0.9958;2.35;0.54;10.1;0
32;10;6.9;0.685;0;2.5;0.105;22;37;0.9966;2.46;0.57;10.6;1
33;14;8.3;0.655;0.12;2.3;0.083;15;113;0.9966;2.17;0.66;9.8;0
34;29;6.9;0.605;0.12;10.7;0.073;40;83;0.9993;2.45;0.52;9.4;1
35;24;5.2;0.32;0.25;1.8;0.103;13;50;0.9957;2.38;0.55;9.2;0
36;25;7.8;0.645;0;5.5;0.086;5;18;0.9986;2.4;0.55;9.6;1
37;30;7.8;0.6;0.14;2.4;0.086;3;15;0.9975;2.42;0.6;10.8;1
38;18;8.1;0.38;0.28;2.1;0.066;13;30;0.9968;2.23;0.73;9.7;1
39;23;5.7;1.13;0.09;1.5;0.172;7;19;0.994;2.5;0.48;9.8;0
40;30;7.3;0.45;0.36;5.9;0.074;12;87;0.9978;2.33;0.83;10.5;0
41;23;7.3;0.45;0.36;5.9;0.074;12;87;0.9978;2.33;0.83;10.5;0
42;28;8.8;0.61;0.3;2.8;0.088;17;46;0.9976;2.26;0.51;9.3;0
43;22;7.5;0.49;0.2;2.6;0.332;8;14;0.9968;2.21;0.9;10.5;1
44;30;8.1;0.66;0.22;2.2;0.069;9;23;0.9968;2.3;1.2;10.3;0
45;14;6.8;0.67;0.02;1.8;0.05;5;11;0.9962;2.48;0.52;9.5;0
46;30;4.6;0.52;0.15;2.1;0.054;8;65;0.9934;2.9;0.56;13.1;0
47;23;7.7;0.935;0.43;2.2;0.114;22;114;0.997;2.25;0.73;9.2;0
48;13;8.7;0.29;0.52;1.6;0.113;12;37;0.9969;2.25;0.58;9.5;0
49;27;6.4;0.4;0.23;1.6;0.066;5;12;0.9958;2.34;0.56;9.2;0
50;26;5.6;0.31;0.37;1.4;0.074;12;96;0.9954;2.32;0.58;9.2;0
51;11;8.8;0.66;0.26;1.7;0.074;4;23;0.9971;2.15;0.74;9.2;0
52;30;6.6;0.52;0.04;2.2;0.069;8;15;0.9956;2.4;0.63;9.4;1
53;14;6.6;0.5;0.04;2.1;0.068;6;14;0.9955;2.39;0.64;9.4;1
54;27;8.6;0.38;0.36;3;0.081;30;119;0.997;2.2;0.56;9.4;0
55;27;7.6;0.51;0.15;2.8;0.11;33;73;0.9955;2.17;0.63;10.2;1
56;21;7.7;0.62;0.04;3.8;0.084;25;45;0.9978;2.34;0.53;9.5;0
57;22;10.2;0.42;0.57;3.4;0.07;4;10;0.9971;2.04;0.63;9.6;0
58;29;7.5;0.63;0.12;5.1;0.111;50;110;0.9983;2.26;0.77;9.4;0
59;17;7.8;0.59;0.18;2.3;0.076;17;54;0.9975;2.43;0.59;10;0
60;19;7.3;0.39;0.31;2.4;0.074;9;46;0.9962;2.41;0.54;9.4;1
61;25;8.8;0.4;0.4;2.2;0.079;19;52;0.998;2.44;0.64;9.2;0
62;20;7.7;0.69;0.49;1.8;0.115;20;112;0.9968;2.21;0.71;9.3;0
63;23;7.5;0.52;0.16;1.9;0.085;12;35;0.9968;2.38;0.62;9.5;1
